일자,본사정원수,본사휴가자수,본사출장자수,본사시간외근무명령서승인건수,현본사소속재택근무자수,중식계,석식계,식사가능인원,중식결식,석식결식,중식강수여부,중식기온,중식강수량,석식강수여부,석식기온,석식강수량,확진자수,휴일전날,휴일다음날,월_1,월_2,월_3,월_4,월_5,월_6,월_7,월_8,월_9,월_10,월_11,월_12,요일_금,요일_목,요일_수,요일_월,요일_화,국분류_국,국분류_국수,국분류_스프,국분류_죽,국분류_찌개,국분류_탕,메뉴분류_기타,메뉴분류_육류,메뉴분류_조류,메뉴분류_해산물
2016-03-09,2624,43,225,0,0.0,901.0,523.0,2356.0,1455.0,1833.0,0.0,7.4,0.0,0.0,10.7,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2016-03-10,2624,55,245,290,0.0,847.0,525.0,2324.0,1477.0,1799.0,0.0,6.3,0.0,0.0,6.2,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2016-03-11,2624,108,275,76,0.0,728.0,591.0,2241.0,1513.0,1650.0,0.0,4.7,0.0,0.0,6.5,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2016-03-14,2624,61,183,376,0.0,1286.0,586.0,2380.0,1094.0,1794.0,0.0,10.1,0.0,0.0,10.7,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2016-03-15,2624,38,231,399,0.0,958.0,545.0,2355.0,1397.0,1810.0,0.0,10.6,0.0,0.0,9.8,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2016-03-16,2624,50,213,0,0.0,998.0,531.0,2361.0,1363.0,1830.0,0.0,13.0,0.0,0.0,14.5,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2016-03-17,2624,52,242,327,0.0,832.0,548.0,2330.0,1498.0,1782.0,0.0,15.7,0.0,0.0,14.1,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2016-03-18,2624,118,277,57,0.0,757.0,521.0,2229.0,1472.0,1708.0,1.0,10.3,3.4,1.0,11.9,0.6,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2016-03-21,2624,65,205,329,0.0,1030.0,605.0,2354.0,1324.0,1749.0,0.0,13.4,0.0,0.0,11.8,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2016-03-22,2624,41,208,378,0.0,917.0,585.0,2375.0,1458.0,1790.0,0.0,14.6,0.0,0.0,15.7,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2016-03-23,2624,42,236,0,0.0,963.0,544.0,2346.0,1383.0,1802.0,0.0,16.1,0.0,0.0,12.5,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
2016-03-24,2624,53,251,293,0.0,876.0,507.0,2320.0,1444.0,1813.0,0.0,10.0,0.0,0.0,9.7,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2016-03-25,2624,98,275,59,0.0,861.0,523.0,2251.0,1390.0,1728.0,0.0,9.4,0.0,0.0,9.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
2016-03-28,2624,77,197,299,0.0,1193.0,637.0,2350.0,1157.0,1713.0,0.0,15.5,0.0,0.0,14.8,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
2016-03-29,2624,52,245,259,0.0,892.0,465.0,2327.0,1435.0,1862.0,0.0,14.7,0.0,0.0,14.9,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2016-03-30,2624,48,230,0,0.0,1033.0,463.0,2346.0,1313.0,1883.0,0.0,18.6,0.0,0.0,17.8,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2016-03-31,2624,36,248,158,0.0,781.0,526.0,2340.0,1559.0,1814.0,0.0,18.4,0.0,0.0,16.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2016-04-01,2643,103,254,47,0.0,661.0,591.0,2286.0,1625.0,1695.0,0.0,21.5,0.0,0.0,18.3,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2016-04-04,2643,62,221,367,0.0,1237.0,614.0,2360.0,1123.0,1746.0,0.0,11.7,0.0,0.0,12.1,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
2016-04-05,2643,31,242,370,0.0,840.0,555.0,2370.0,1530.0,1815.0,0.0,15.9,0.0,0.0,17.7,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2016-04-06,2643,37,249,0,0.0,876.0,492.0,2357.0,1481.0,1865.0,0.0,19.8,0.0,0.0,13.5,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
2016-04-07,2643,47,258,339,0.0,853.0,524.0,2338.0,1485.0,1814.0,0.0,13.0,0.0,0.0,16.5,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2016-04-08,2643,87,283,64,0.0,764.0,542.0,2273.0,1509.0,1731.0,0.0,19.2,0.0,0.0,20.6,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2016-04-11,2643,82,203,392,0.0,1225.0,536.0,2358.0,1133.0,1822.0,0.0,10.7,0.0,0.0,11.2,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2016-04-12,2643,76,225,239,0.0,771.0,500.0,2342.0,1571.0,1842.0,0.0,13.8,0.0,0.0,15.7,0.0,0.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2016-04-14,2643,106,252,326,0.0,969.0,562.0,2285.0,1316.0,1723.0,0.0,21.1,0.0,0.0,23.5,0.0,0.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2016-04-15,2643,131,281,82,0.0,579.0,582.0,2231.0,1652.0,1649.0,0.0,19.2,0.0,0.0,17.3,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2016-04-18,2643,81,225,330,0.0,1120.0,525.0,2337.0,1217.0,1812.0,0.0,17.4,0.0,0.0,18.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2016-04-19,2643,44,239,387,0.0,980.0,449.0,2360.0,1380.0,1911.0,0.0,18.2,0.0,0.0,16.9,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2016-04-20,2643,47,262,0,0.0,849.0,504.0,2334.0,1485.0,1830.0,0.0,19.5,0.0,0.0,16.1,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
2016-04-21,2643,66,264,312,0.0,940.0,531.0,2313.0,1373.0,1782.0,1.0,14.4,0.2,0.0,17.1,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2016-04-22,2643,150,275,86,0.0,698.0,557.0,2218.0,1520.0,1661.0,0.0,21.1,0.0,0.0,20.4,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2016-04-25,2643,96,201,281,0.0,1227.0,528.0,2346.0,1119.0,1818.0,0.0,22.4,0.0,0.0,21.8,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
2016-04-26,2643,51,227,304,0.0,795.0,568.0,2365.0,1570.0,1797.0,0.0,23.9,0.0,0.0,20.6,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2016-04-27,2643,71,234,0,0.0,1028.0,490.0,2338.0,1310.0,1848.0,1.0,11.8,1.1,1.0,11.1,3.9,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
2016-04-28,2643,56,269,196,0.0,811.0,508.0,2318.0,1507.0,1810.0,0.0,16.1,0.0,0.0,17.4,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
2016-04-29,2643,139,282,28,0.0,652.0,507.0,2222.0,1570.0,1715.0,0.0,19.0,0.0,0.0,17.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
2016-05-02,2635,80,214,302,0.0,1242.0,551.0,2341.0,1099.0,1790.0,0.0,21.8,0.0,0.0,20.4,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2016-05-03,2635,65,251,292,0.0,964.0,515.0,2319.0,1355.0,1804.0,1.0,19.1,1.0,0.0,14.4,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
2016-05-04,2635,150,244,0,0.0,723.0,636.0,2241.0,1518.0,1605.0,0.0,22.8,0.0,0.0,22.8,0.0,0.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2016-05-09,2635,101,233,344,0.0,1216.0,591.0,2301.0,1085.0,1710.0,0.0,20.6,0.0,0.0,19.6,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2016-05-10,2635,53,252,350,0.0,1008.0,519.0,2330.0,1322.0,1811.0,1.0,15.3,1.7,1.0,13.4,0.7,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2016-05-11,2635,60,266,0,0.0,915.0,423.0,2309.0,1394.0,1886.0,0.0,19.2,0.0,0.0,18.6,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2016-05-12,2635,71,274,315,0.0,753.0,532.0,2290.0,1537.0,1758.0,0.0,22.1,0.0,0.0,21.5,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2016-05-13,2635,185,268,80,0.0,761.0,517.0,2182.0,1421.0,1665.0,0.0,19.5,0.0,0.0,19.4,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2016-05-16,2635,99,216,368,0.0,1180.0,594.0,2320.0,1140.0,1726.0,0.0,17.7,0.0,0.0,20.6,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2016-05-17,2635,41,254,377,0.0,899.0,633.0,2340.0,1441.0,1707.0,0.0,23.6,0.0,0.0,25.2,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2016-05-18,2635,71,257,0,0.0,856.0,456.0,2307.0,1451.0,1851.0,0.0,27.6,0.0,0.0,26.6,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2016-05-19,2635,65,266,264,0.0,898.0,529.0,2304.0,1406.0,1775.0,0.0,24.8,0.0,0.0,26.4,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
2016-05-20,2635,169,287,56,0.0,653.0,487.0,2179.0,1526.0,1692.0,0.0,26.5,0.0,0.0,25.9,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2016-05-23,2635,88,203,362,0.0,1160.0,613.0,2344.0,1184.0,1731.0,0.0,26.2,0.0,0.0,24.6,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2016-05-24,2635,74,234,310,0.0,1107.0,465.0,2327.0,1220.0,1862.0,1.0,19.6,8.7,0.0,19.6,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2016-05-25,2635,72,258,0,0.0,938.0,454.0,2305.0,1367.0,1851.0,0.0,24.5,0.0,0.0,24.1,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
2016-05-26,2635,64,285,227,0.0,783.0,520.0,2286.0,1503.0,1766.0,0.0,26.0,0.0,0.0,24.1,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2016-05-27,2635,163,291,61,0.0,660.0,493.0,2181.0,1521.0,1688.0,0.0,27.1,0.0,0.0,23.4,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
2016-05-30,2635,73,215,291,0.0,1231.0,631.0,2347.0,1116.0,1716.0,0.0,28.7,0.0,0.0,25.9,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
2016-05-31,2635,50,250,185,0.0,921.0,535.0,2335.0,1414.0,1800.0,0.0,27.8,0.0,0.0,25.4,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2016-06-01,2637,75,245,0,0.0,916.0,490.0,2317.0,1401.0,1827.0,0.0,23.5,0.0,0.0,23.5,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2016-06-02,2637,81,258,301,0.0,850.0,483.0,2298.0,1448.0,1815.0,0.0,24.5,0.0,0.0,23.3,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2016-06-03,2637,191,268,64,0.0,721.0,548.0,2178.0,1457.0,1630.0,0.0,27.7,0.0,0.0,24.5,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2016-06-07,2637,115,192,389,0.0,1244.0,629.0,2330.0,1086.0,1701.0,0.0,24.8,0.0,0.0,23.9,0.0,0.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2016-06-08,2637,58,240,0,0.0,931.0,500.0,2339.0,1408.0,1839.0,0.0,23.6,0.0,0.0,22.9,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2016-06-09,2637,69,252,359,0.0,829.0,506.0,2316.0,1487.0,1810.0,0.0,25.6,0.0,0.0,23.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2016-06-10,2637,151,270,61,0.0,697.0,509.0,2216.0,1519.0,1707.0,0.0,25.1,0.0,0.0,25.7,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2016-06-13,2637,98,209,415,0.0,1243.0,590.0,2330.0,1087.0,1740.0,0.0,26.5,0.0,0.0,23.7,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2016-06-14,2637,56,241,432,0.0,973.0,593.0,2340.0,1367.0,1747.0,0.0,27.0,0.0,0.0,24.2,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
